板,器件,焊盘,脚名,网络,连接去向/处理,状态,人工勾选
VCU,U403,29,GPIO10,NC_U403_GPIO10,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,30,GPIO11,NC_U403_GPIO11,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,31,RTS2,NC_U403_RTS2,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U403,32,CTS2,U403_CTS2,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U403,33,RX2,TOF_3_TO_VCU_3V3,TOF_3 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U403,34,TX2,VCU_TO_TOF_3_3V3,TOF_3 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U403,35,GPIO12,NC_U403_GPIO12,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,36,GPIO13,NC_U403_GPIO13,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,37,GPIO14,NC_U403_GPIO14,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,38,GPIO15,NC_U403_GPIO15,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,39,RTS3,NC_U403_RTS3,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U403,40,CTS3,U403_CTS3,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U403,41,RX3,TOF_4_TO_VCU_3V3,TOF_4 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U403,42,TX3,VCU_TO_TOF_4_3V3,TOF_4 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U403,43,VEXT,3V3_LOGIC,100nF 到 DGND,S01 脚位 V；外设前端 H,
VCU,U403,44,XOUT,U403_XOUT,Y403.2，外部负载电容 DNP,S01 脚位 V；外设前端 H,
VCU,U403,45,XIN,U403_XIN,Y403.1，外部负载电容 DNP,S01 脚位 V；外设前端 H,
VCU,U403,46,AGND,GND,必须独立接地，不只靠 EP,S01 脚位 V；外设前端 H,
VCU,U403,47,VA,3V3_LOGIC,100nF 到 AGND,S01 脚位 V；外设前端 H,
VCU,U403,48,V18,U403_V18,1µF 到地；不接 3V3/外部负载,S01 脚位 V；外设前端 H,
VCU,U403,EP,EP,GND,接 AGND；焊盘编号按受控 footprint 核对,S01 脚位 V；外设前端 H,
BCM,U401,1,IN2,ACT_IN2_HW,经掉电安全缓冲/门控，来自 ACT_IN2_REQ,S02 脚位 V；外围/安全 H,
BCM,U401,2,IN1,ACT_IN1_HW,经掉电安全缓冲/门控，来自 ACT_IN1_REQ,S02 脚位 V；外围/安全 H,
BCM,U401,3,SLEW,GND,慢边沿,S02 脚位 V；外围/安全 H,
BCM,U401,4,VPWR,12V_ACT,同接 F_ACT 之后；多脚全连,S02 脚位 V；外围/安全 H,
BCM,U401,5,AGND,GND,低阻接 PGND；EP 须焊接,S02 脚位 V；外围/安全 H,
BCM,U401,6,VPWR,12V_ACT,同接 F_ACT 之后；多脚全连,S02 脚位 V；外围/安全 H,
BCM,U401,7,INV,GND,不反相,S02 脚位 V；外围/安全 H,
BCM,U401,8,FB,ACT_FB_RAW,150Ω 取样及滤波；4.7k 后为 ACT_FB_ADC,S02 脚位 V；外围/安全 H,
BCM,U401,9,NC,NC_U401_9,不连接,S02 脚位 V；外围/安全 H,
BCM,U401,10,EN,ACT_EN_HW,硬件许可与 EN 请求门控，2.2k 下拉,S02 脚位 V；外围/安全 H,
BCM,U401,11,VPWR,12V_ACT,同接 F_ACT 之后；多脚全连,S02 脚位 V；外围/安全 H,
BCM,U401,12,OUT1,ACT_OUT1,四脚全连 → BCM B19 逻辑位；物理腔号 H,S02 脚位 V；外围/安全 H,
BCM,U401,13,OUT1,ACT_OUT1,四脚全连 → BCM B19 逻辑位；物理腔号 H,S02 脚位 V；外围/安全 H,
BCM,U401,14,OUT1,ACT_OUT1,四脚全连 → BCM B19 逻辑位；物理腔号 H,S02 脚位 V；外围/安全 H,
BCM,U401,15,OUT1,ACT_OUT1,四脚全连 → BCM B19 逻辑位；物理腔号 H,S02 脚位 V；外围/安全 H,
BCM,U401,16,D2,ACT_D2_HW,硬件禁止低；2.2k 下拉,S02 脚位 V；外围/安全 H,
BCM,U401,17,NC,NC_U401_17,不连接,S02 脚位 V；外围/安全 H,
BCM,U401,18,PGND,GND,六脚全连，功率回流,S02 脚位 V；外围/安全 H,
BCM,U401,19,PGND,GND,六脚全连，功率回流,S02 脚位 V；外围/安全 H,
BCM,U401,20,PGND,GND,六脚全连，功率回流,S02 脚位 V；外围/安全 H,
BCM,U401,21,SF,ACT_SF,15k 上拉，接 U101.30 (PC4),S02 脚位 V；外围/安全 H,
BCM,U401,22,PGND,GND,六脚全连，功率回流,S02 脚位 V；外围/安全 H,
BCM,U401,23,PGND,GND,六脚全连，功率回流,S02 脚位 V；外围/安全 H,
BCM,U401,24,PGND,GND,六脚全连，功率回流,S02 脚位 V；外围/安全 H,
BCM,U401,25,NC,NC_U401_25,不连接,S02 脚位 V；外围/安全 H,
BCM,U401,26,D1,ACT_D1_HW,默认高禁止；缓冲/反灌 H,S02 脚位 V；外围/安全 H,
BCM,U401,27,OUT2,ACT_OUT2,四脚全连 → BCM B20 逻辑位；物理腔号 H,S02 脚位 V；外围/安全 H,
BCM,U401,28,OUT2,ACT_OUT2,四脚全连 → BCM B20 逻辑位；物理腔号 H,S02 脚位 V；外围/安全 H,
BCM,U401,29,OUT2,ACT_OUT2,四脚全连 → BCM B20 逻辑位；物理腔号 H,S02 脚位 V；外围/安全 H,
BCM,U401,30,OUT2,ACT_OUT2,四脚全连 → BCM B20 逻辑位；物理腔号 H,S02 脚位 V；外围/安全 H,
BCM,U401,31,VPWR,12V_ACT,同接 F_ACT 之后；多脚全连,S02 脚位 V；外围/安全 H,
BCM,U401,32,CCP,ACT_CCP,33nF 到 12V_ACT，不接地,S02 脚位 V；外围/安全 H,
BCM,U401,EP,AGND,GND,低阻接 PGND；EP 须焊接,S02 脚位 V；外围/安全 H,
